,Feature,Variance,Pass_Variance,Target_Correlation,Pass_Correlation,F_Score,P_Value,Adjusted_P_Value,Pass_Significance,Selected,Original_Order
56,Inventory/Working Capital,1.0001833516685001,True,0.00039153060393261183,True,0.0008359243820818144,0.9769355483859332,0.9901887767503772,False,False,-1
31,Interest Expense Ratio,1.0001833516685004,True,0.00016653142563329863,True,0.00015122650303393215,0.9901887767503772,0.9901887767503772,False,False,-1
0,ROA(C) before interest and depreciation before interest,1.0001833516685001,True,0.2535506906122722,False,0.0,1.0,1.0,False,False,-1
1,ROA(A) before interest and % after tax,1.0001833516685004,True,0.27879190460267295,False,0.0,1.0,1.0,False,False,-1
2,ROA(B) before interest and depreciation after tax,1.0001833516685001,True,0.26746056565875304,False,0.0,1.0,1.0,False,False,-1
4,Realized Sales Gross Margin,1.0001833516685004,True,0.08409664164906247,False,0.0,1.0,1.0,False,False,-1
5,Operating Profit Rate,1.0001833516685001,True,0.0007782372949103507,False,0.0,1.0,1.0,False,False,-1
6,Pre-tax net Interest Rate,1.0001833516685004,True,0.007573715195726218,False,0.0,1.0,1.0,False,False,-1
9,Continuous interest rate (after tax),1.0001833516685004,True,0.007367737057275455,False,0.0,1.0,1.0,False,False,-1
10,Cash flow rate,1.0001833516685004,True,0.06778808171796893,False,0.0,1.0,1.0,False,False,-1
13,Net Value Per Share (B),1.0001833516685001,True,0.15819170431055607,False,0.0,1.0,1.0,False,False,-1
15,Net Value Per Share (C),1.0001833516685001,True,0.15739816296836837,False,0.0,1.0,1.0,False,False,-1
19,Operating Profit Per Share (Yuan ¥),1.0001833516685004,True,0.1296711547602892,False,0.0,1.0,1.0,False,False,-1
20,Per Share Net profit before tax (Yuan ¥),1.0001833516685006,True,0.18583090271327843,False,0.0,1.0,1.0,False,False,-1
24,Regular Net Profit Growth Rate,1.0001833516685001,True,0.03713639309525496,False,0.0,1.0,1.0,False,False,-1
26,Net Value Growth Rate,1.0001833516685004,True,0.004305602507217769,False,0.0,1.0,1.0,False,False,-1
28,Cash Reinvestment %,1.0001833516685004,True,0.07851261555295273,False,0.0,1.0,1.0,False,False,-1
29,Current Ratio,1.0001833516685004,True,0.05646183666750852,False,0.0,1.0,1.0,False,False,-1
34,Net worth/Assets,1.0001833516685004,True,0.23976044275882397,False,0.0,1.0,1.0,False,False,-1
36,Borrowing dependency,1.0001833516685001,True,0.21087621575064563,False,0.0,1.0,1.0,False,False,-1
38,Operating profit/Paid-in capital,1.0001833516685001,True,0.12853371336618885,False,0.0,1.0,1.0,False,False,-1
39,Net profit before tax/Paid-in capital,1.0001833516685,True,0.19233046707864918,False,0.0,1.0,1.0,False,False,-1
52,Quick Assets/Current Liability,1.0001833516685004,True,0.05820168348285304,False,0.0,1.0,1.0,False,False,-1
54,Current Liability to Assets,1.0001833516685,True,0.19053094702443424,False,0.0,1.0,1.0,False,False,-1
58,Current Liabilities/Liability,1.0001833516685001,True,0.010610188497760312,False,0.0,1.0,1.0,False,False,-1
60,Current Liabilities/Equity,1.0001833516685001,True,0.1932576393589189,False,0.0,1.0,1.0,False,False,-1
62,Retained Earnings to Total Assets,1.0001833516685001,True,0.21572520542401352,False,0.0,1.0,1.0,False,False,-1
66,Cash Flow to Sales,1.0001833516685004,True,0.0006694856374339504,False,0.0,1.0,1.0,False,False,-1
69,Current Liability to Equity,1.0001833516685001,True,0.1932576393589189,False,0.0,1.0,1.0,False,False,-1
80,Gross Profit to Sales,1.0001833516685001,True,0.08471657964200692,False,0.0,1.0,1.0,False,False,-1
82,Liability to Equity,1.0001833516685001,True,0.197270675566465,False,0.0,1.0,1.0,False,False,-1
85,Net Income Flag,0.0,False,0.0,False,0.0,1.0,1.0,False,False,-1
